 
L 1825 AD,00001,Silver,AEROX,155 S VERSION,2018,17/02/2028,428000,0,64000,0,35000,0,50000,25000,60000
L 8936 BB,00002,Putih,AVANZA,1.5 G CVT,2015,23/03/2025,896000,0,134000,0,143000,0,50000,50000,80000
L 9864 AD,00003,Kuning,ERTIGA,1.5 GX AT,2023,27/03/2025,1133000,0,170000,0,143000,0,50000,50000,80000
L 4558 AA,00004,Biru,NMAX,155 ABS,2021,23/07/2025,474000,0,71000,0,35000,0,50000,25000,60000
L 5515 BD,00005,Biru,XPANDER,1.5 CROSS CVT,2020,21/05/2027,1434000,0,215000,0,143000,0,50000,50000,80000
L 712 XZ,00006,Putih,XPANDER,1.5 CROSS CVT,2021,04/02/2027,1451000,0,218000,0,143000,0,50000,50000,80000
L 5926 II,00007,Maroon,XPANDER,1.5 EXCEED MT,2015,11/04/2025,1391000,0,209000,0,143000,0,50000,50000,80000
L 1308 CJ,00008,Hijau,JUPITER MX,KING 150,2019,25/07/2027,414000,0,62000,0,35000,0,50000,25000,60000
L 2665 EH,00009,Maroon,MOBILIO,1.5 E CVT,2019,20/08/2027,879000,0,132000,0,143000,0,50000,50000,80000
L 2804 HI,00010,Kuning,NMAX,155 ABS,2022,06/07/2025,648000,0,97000,0,35000,0,50000,25000,60000
L 9126 CI,00011,Abu-abu,DAIHATSU ROCKY,1.0 R CVT,2015,10/08/2028,949000,0,142000,0,143000,0,50000,50000,80000
L 5169 FB,00012,Biru,RAIZE,1.0 G CVT,2024,11/03/2025,1112000,0,167000,0,143000,0,50000,50000,80000
L 6483 KK,00013,Abu-abu,FORTUNER,2.4 VRZ A/T,2017,05/03/2028,3546000,0,532000,0,143000,0,50000,50000,80000
L 4305 IJ,00014,Biru,TERIOS,1.5 X MT,2021,25/03/2025,1374000,0,206000,0,143000,0,50000,50000,80000
L 2267 GL,00015,Putih,HR-V,1.5 E CVT,2015,09/11/2024,1651000,0,248000,0,143000,0,50000,50000,80000
L 6917 IL,00016,Hijau,BRIO,1.2 RS CVT,2024,19/12/2026,856000,0,128000,0,143000,0,50000,50000,80000
L 9065 AB,00017,Merah,XPANDER,1.5 CROSS CVT,2023,23/04/2028,1660000,0,249000,0,143000,0,50000,50000,80000
L 1828 DH,00018,Merah,YARIS,1.5 S CVT,2015,22/10/2026,1270000,0,190000,0,143000,0,50000,50000,80000
L 8318 BD,00019,Coklat,PCX,160 CBS,2023,11/02/2025,410000,0,62000,0,35000,0,50000,25000,60000
L 2647 HJ,00020,Coklat,LEXI,125 LX,2015,25/10/2025,418000,0,63000,0,35000,0,50000,25000,60000
L 1833 EG,00021,Hitam,PCX,160 CBS,2018,08/05/2025,541000,0,81000,0,35000,0,50000,25000,60000
L 1291 BA,00022,Silver,VARIO 125,CBS ISS,2023,19/09/2024,356000,0,53000,0,35000,0,50000,25000,60000
L 9008 CB,00023,Kuning,TEANA,2.5 XV CVT,2024,09/03/2025,2443000,0,366000,0,143000,0,50000,50000,80000
L 3296 WZ,00024,Hijau,MOBILIO,1.5 E CVT,2020,25/11/2026,1031000,0,155000,0,143000,0,50000,50000,80000
L 4062 CI,00025,Orange,AVANZA,1.5 G MT,2024,16/04/2025,868000,0,130000,0,143000,0,50000,50000,80000
L 118 AJ,00026,Putih,BEAT,POP CBS ISS,2018,05/03/2024,215000,0,32000,0,35000,0,50000,25000,60000
L 1161 GL,00027,Abu-abu,MOBILIO,1.5 E CVT,2022,09/01/2027,903000,0,135000,0,143000,0,50000,50000,80000
L 9356 II,00028,Kuning,CRV,1.5 TURBO PRESTIGE,2022,24/01/2025,2486000,0,373000,0,143000,0,50000,50000,80000
L 7063 EF,00029,Maroon,YARIS,1.5 S CVT,2015,31/08/2027,1368000,0,205000,0,143000,0,50000,50000,80000
L 1613 AH,00030,Abu-abu,INNOVA,2.4 V A/T DIESEL,2016,27/01/2025,2593000,0,389000,0,143000,0,50000,50000,80000
L 7351 BH,00031,Abu-abu,FORTUNER,2.4 VRZ A/T,2022,25/11/2028,4024000,0,604000,0,143000,0,50000,50000,80000
L 7261 HK,00032,Hitam,FREED,1.5 S CVT,2023,10/07/2024,1465000,0,220000,0,143000,0,50000,50000,80000
L 3873 CB,00033,Kuning,AGYA,1.2 GR-S MT,2018,30/04/2024,550000,0,82000,0,143000,0,50000,50000,80000
L 36 EJ,00034,Merah,CRV,1.5 TURBO PRESTIGE,2022,16/05/2026,3160000,0,474000,0,143000,0,50000,50000,80000
L 9106 KM,00035,Merah,VARIO 160,ABS,2018,21/03/2025,520000,0,78000,0,35000,0,50000,25000,60000
L 9490 YZ,00036,Hitam,PAJERO SPORT,2.4 DAKAR 4X4 AT,2020,12/04/2024,4335000,0,650000,0,143000,0,50000,50000,80000
L 8239 HH,00037,Silver,AYLA,1.0 X MT,2016,20/05/2024,544000,0,82000,0,143000,0,50000,50000,80000
L 3854 FB,00038,Coklat,TERIOS,1.5 X MT,2018,02/05/2027,952000,0,143000,0,143000,0,50000,50000,80000
L 1344 FD,00039,Biru,TERIOS,1.5 X MT,2023,18/06/2025,1025000,0,154000,0,143000,0,50000,50000,80000
L 5148 DA,00040,Hijau,CALYA,1.2 G MT,2019,09/10/2025,733000,0,110000,0,143000,0,50000,50000,80000
L 1189 AB,00041,Putih,TERIOS,1.5 X MT,2016,06/01/2027,1029000,0,154000,0,143000,0,50000,50000,80000
L 4346 BG,00042,Biru,VARIO 125,CBS ISS,2018,06/08/2025,292000,0,44000,0,35000,0,50000,25000,60000
L 8901 WY,00043,Hitam,CRV,1.5 TURBO PRESTIGE,2023,29/09/2027,3295000,0,494000,0,143000,0,50000,50000,80000
L 4906 KM,00044,Putih,CALYA,1.2 G MT,2019,27/12/2028,536000,0,80000,0,143000,0,50000,50000,80000
L 9065 BJ,00045,Biru,VELOZ,1.5 Q CVT,2018,20/02/2025,1912000,0,287000,0,143000,0,50000,50000,80000
L 4326 GK,00046,Putih,TEANA,2.5 XV CVT,2015,23/07/2027,2039000,0,306000,0,143000,0,50000,50000,80000
L 4534 AF,00047,Maroon,HR-V,1.5 E CVT,2017,20/06/2025,1372000,0,206000,0,143000,0,50000,50000,80000
L 7240 HK,00048,Putih,SOUL GT,125 AKS SSS,2015,03/06/2024,344000,0,52000,0,35000,0,50000,25000,60000
L 2443 HJ,00049,Orange,CIVIC,1.5 TC CVT,2024,30/10/2024,2555000,0,383000,0,143000,0,50000,50000,80000
L 686 DJ,00050,Biru,CRV,1.5 TURBO PRESTIGE,2015,06/03/2025,3144000,0,472000,0,143000,0,50000,50000,80000
L 1685 EF,00051,Silver,ADV 160,ABS,2024,29/04/2025,765000,0,115000,0,35000,0,50000,25000,60000
L 2901 FC,00052,Kuning,PAJERO SPORT,2.4 DAKAR 4X4 AT,2020,30/06/2028,4472000,0,671000,0,143000,0,50000,50000,80000
L 4066 DE,00053,Kuning,ERTIGA,1.5 GX AT,2016,21/11/2028,952000,0,143000,0,143000,0,50000,50000,80000
L 7712 CI,00054,Merah,YARIS,1.5 S CVT,2020,07/08/2028,1285000,0,193000,0,143000,0,50000,50000,80000
